"Gene","product_accession","Description","chromosome","start","end","strand","feature_interval_length","product_length","assembly_unit","level","annotation"
"Bcen2424_0545","ABK07299.1","molybdopterin oxidoreductase","1"," 612016"," 614091","+"," 2076"," 691","Primary Assembly",NA,""
"Bcen2424_0546","ABK07300.1","AMP-dependent synthetase and ligase","1"," 614229"," 615902","+"," 1674"," 557","Primary Assembly"," 3","00061 Fatty acid biosynthesis PATH:ko00061 - 00071 Fatty acid degradation PATH:ko00071 - 02024 Quorum sensing PATH:ko02024"
"Bcen2424_0547","ABK07301.1","conserved hypothetical protein","1"," 616024"," 616392","+","  369"," 122","Primary Assembly",NA,""
"Bcen2424_0548","ABK07302.1","porin, Gram-negative type","1"," 616393"," 617544","-"," 1152"," 383","Primary Assembly",NA,""
"Bcen2424_0549","ABK07303.1","ubiquinone biosynthesis protein COQ7-like protein","1"," 617821"," 618447","+","  627"," 208","Primary Assembly",NA,""
"Bcen2424_0550","ABK07304.1","MraZ protein","1"," 618834"," 619262","+","  429"," 142","Primary Assembly",NA,""
"Bcen2424_0551","ABK07305.1","S-adenosyl-methyltransferase MraW","1"," 619286"," 620227","+","  942"," 313","Primary Assembly",NA,""
"Bcen2424_0552","ABK07306.1","cell division protein FtsL","1"," 620224"," 620565","+","  342"," 113","Primary Assembly",NA,""
"Bcen2424_0553","ABK07307.1","peptidoglycan synthetase FtsI","1"," 620562"," 622409","+"," 1848"," 615","Primary Assembly"," 3","00550 Peptidoglycan biosynthesis PATH:ko00550 - 01501 beta-Lactam resistance PATH:ko01501"
"Bcen2424_0554","ABK07308.1","UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase","1"," 622406"," 623953","+"," 1548"," 515","Primary Assembly"," 3","00300 Lysine biosynthesis PATH:ko00300 - 00550 Peptidoglycan biosynthesis PATH:ko00550"
"Bcen2424_0555","ABK07309.1","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","1"," 623950"," 625356","+"," 1407"," 468","Primary Assembly"," 3","00300 Lysine biosynthesis PATH:ko00300 - 00550 Peptidoglycan biosynthesis PATH:ko00550 - 01502 Vancomycin resistance PATH:ko01502"
"Bcen2424_0556","ABK07310.1","Phospho-N-acetylmuramoyl-pentapeptide-transferase","1"," 625373"," 626542","+"," 1170"," 389","Primary Assembly"," 3","00550 Peptidoglycan biosynthesis PATH:ko00550 - 01502 Vancomycin resistance PATH:ko01502"
"Bcen2424_0557","ABK07311.1","UDP-N-acetylmuramoylalanine--D-glutamate ligase","1"," 626571"," 628082","+"," 1512"," 503","Primary Assembly"," 3","00471 D-Glutamine and D-glutamate metabolism PATH:ko00471 - 00550 Peptidoglycan biosynthesis PATH:ko00550"
"Bcen2424_0558","ABK07312.1","cell division-specific peptidoglycan biosynthesis regulator FtsW","1"," 628079"," 629362","+"," 1284"," 427","Primary Assembly",NA,""
"Bcen2424_0559","ABK07313.1","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","1"," 629359"," 630462","+"," 1104"," 367","Primary Assembly"," 3","00550 Peptidoglycan biosynthesis PATH:ko00550 - 01502 Vancomycin resistance PATH:ko01502"
"Bcen2424_0560","ABK07314.1","UDP-N-acetylmuramate--L-alanine ligase","1"," 630459"," 631856","+"," 1398"," 465","Primary Assembly"," 3","00471 D-Glutamine and D-glutamate metabolism PATH:ko00471 - 00550 Peptidoglycan biosynthesis PATH:ko00550"
"Bcen2424_0561","ABK07315.1","D-alanine--D-alanine ligase","1"," 631858"," 632799","+","  942"," 313","Primary Assembly"," 3","00473 D-Alanine metabolism PATH:ko00473 - 00550 Peptidoglycan biosynthesis PATH:ko00550 - 01502 Vancomycin resistance PATH:ko01502"
"Bcen2424_0562","ABK07316.1","Polypeptide-transport-associated domain protein, FtsQ-type","1"," 632819"," 633571","+","  753"," 250","Primary Assembly",NA,""
"Bcen2424_0563","ABK07317.1","cell division protein FtsA","1"," 633598"," 634830","+"," 1233"," 410","Primary Assembly",NA,""
"Bcen2424_0564","ABK07318.1","cell division protein FtsZ","1"," 634943"," 636139","+"," 1197"," 398","Primary Assembly",NA,""
"Bcen2424_0565","ABK07319.1","Redoxin domain protein","1"," 636329"," 636835","+","  507"," 168","Primary Assembly",NA,""
"Bcen2424_0566","ABK07320.1","UDP-3-O-3-hydroxymyristoyl N-acetylglucosamine deacetylase","1"," 637076"," 637993","+","  918"," 305","Primary Assembly",NA,""
"Bcen2424_0567","ABK07321.1","transposase IS116/IS110/IS902 family protein","1"," 638112"," 639137","+"," 1026"," 341","Primary Assembly",NA,""
"Bcen2424_0568","ABK07322.1","conserved hypothetical protein","1"," 639433"," 639909","-","  477"," 158","Primary Assembly",NA,""
"Bcen2424_0569","ABK07323.1","protein translocase subunit secA","1"," 640166"," 642964","+"," 2799"," 932","Primary Assembly"," 3","03060 Protein export PATH:ko03060 - 03070 Bacterial secretion system PATH:ko03070 - 02024 Quorum sensing PATH:ko02024"
"Bcen2424_0570","ABK07324.1","glutamate N-acetyltransferase","1"," 643109"," 644350","+"," 1242"," 413","Primary Assembly",NA,""
"Bcen2424_0571","ABK07325.1","protein of unknown function DUF815","1"," 644370"," 645239","+","  870"," 289","Primary Assembly",NA,""
"Bcen2424_0572","ABK07326.1","NUDIX hydrolase","1"," 645236"," 645679","+","  444"," 147","Primary Assembly",NA,""
"Bcen2424_0573","ABK07327.1","protein of unknown function DUF329","1"," 645740"," 645940","-","  201","  66","Primary Assembly",NA,""
"Bcen2424_0574","ABK07328.1","protein of unknown function DUF1342","1"," 645969"," 646724","-","  756"," 251","Primary Assembly",NA,""
"Bcen2424_0575","ABK07329.1","dephospho-CoA kinase","1"," 646834"," 647442","-","  609"," 202","Primary Assembly",NA,""
"Bcen2424_0576","ABK07330.1","type 4 prepilin peptidase 1, Aspartic peptidase, MEROPS family A24A","1"," 647444"," 648355","-","  912"," 303","Primary Assembly",NA,""
"Bcen2424_0577","ABK07331.1","type II secretion system protein","1"," 648400"," 649611","-"," 1212"," 403","Primary Assembly",NA,""
"Bcen2424_0578","ABK07332.1","type II secretion system protein E","1"," 649608"," 650894","-"," 1287"," 428","Primary Assembly",NA,""
"Bcen2424_0579","ABK07333.1","protein of unknown function DUF21","1"," 650966"," 652339","-"," 1374"," 457","Primary Assembly",NA,""
"Bcen2424_0580","ABK07334.1","Trans-hexaprenyltranstransferase","1"," 652624"," 653619","-","  996"," 331","Primary Assembly",NA,""
"Bcen2424_0581","ABK07335.1","LSU ribosomal protein L21P","1"," 653830"," 654141","+","  312"," 103","Primary Assembly",NA,""
"Bcen2424_0582","ABK07336.1","LSU ribosomal protein L27P","1"," 654166"," 654429","+","  264","  87","Primary Assembly",NA,""
"Bcen2424_0583","ABK07337.1","GTP1/OBG sub domain protein","1"," 654616"," 655728","+"," 1113"," 370","Primary Assembly",NA,""
"Bcen2424_0584","ABK07338.1","glutamate 5-kinase","1"," 655818"," 656936","+"," 1119"," 372","Primary Assembly"," 3","00330 Arginine and proline metabolism PATH:ko00330 - 00332 Carbapenem biosynthesis PATH:ko00332"
"Bcen2424_0585","ABK07339.1","conserved hypothetical protein","1"," 657031"," 657639","-","  609"," 202","Primary Assembly",NA,""
"Bcen2424_0586","ABK07340.1","NUDIX hydrolase","1"," 657653"," 658297","-","  645"," 214","Primary Assembly",NA,""
"Bcen2424_0587","ABK07341.1","prolyl-tRNA synthetase","1"," 658526"," 660262","+"," 1737"," 578","Primary Assembly",NA,""
"Bcen2424_0588","ABK07342.1","multiple antibiotic resistance (MarC)-related protein","1"," 660284"," 660886","+","  603"," 200","Primary Assembly",NA,""
"Bcen2424_0589","ABK07343.1","phosphoribosyltransferase","1"," 660969"," 661520","-","  552"," 183","Primary Assembly",NA,""
"Bcen2424_0590","ABK07344.1","signal recognition particle subunit FFH/SRP54 (srp54)","1"," 661615"," 662982","-"," 1368"," 455","Primary Assembly"," 3","03060 Protein export PATH:ko03060 - 03070 Bacterial secretion system PATH:ko03070 - 02024 Quorum sensing PATH:ko02024"
"Bcen2424_0591","ABK07345.1","cytochrome c assembly protein","1"," 663073"," 663966","+","  894"," 297","Primary Assembly",NA,""
"Bcen2424_0592","ABK07346.1","conserved hypothetical protein","1"," 663980"," 664300","+","  321"," 106","Primary Assembly",NA,""
"Bcen2424_0593","ABK07347.1","N-acetylmuramyl-L-alanine amidase, negative regulator of AmpC, AmpD","1"," 664297"," 664887","+","  591"," 196","Primary Assembly",NA,""
"Bcen2424_0594","ABK07348.1","ribonucleoside-diphosphate reductase, alpha subunit","1"," 665340"," 668345","+"," 3006","1001","Primary Assembly"," 3","00230 Purine metabolism PATH:ko00230 - 00240 Pyrimidine metabolism PATH:ko00240"
"Bcen2424_0596","ABK07349.1","Ribonucleoside-diphosphate reductase","1"," 668774"," 669922","+"," 1149"," 382","Primary Assembly"," 3","00230 Purine metabolism PATH:ko00230 - 00240 Pyrimidine metabolism PATH:ko00240"
"Bcen2424_0597","ABK07350.1","conserved hypothetical protein","1"," 670005"," 670331","+","  327"," 108","Primary Assembly",NA,""
"Bcen2424_0598","ABK07351.1","conserved hypothetical protein","1"," 670360"," 671007","+","  648"," 215","Primary Assembly",NA,""
"Bcen2424_0599","ABK07352.1","17 kDa surface antigen","1"," 671235"," 671708","-","  474"," 157","Primary Assembly",NA,""
"Bcen2424_0600","ABK07353.1","Adenosine kinase","1"," 671728"," 672666","-","  939"," 312","Primary Assembly",NA,""
"Bcen2424_0601","ABK07354.1","thiol peroxidase (atypical 2-Cys peroxiredoxin)","1"," 672752"," 673255","-","  504"," 167","Primary Assembly",NA,""
"Bcen2424_0602","ABK07355.1","MJ0042 family finger-like protein","1"," 673327"," 674727","-"," 1401"," 466","Primary Assembly",NA,""
"Bcen2424_0603","ABK07356.1","LSU ribosomal protein L11P-lysine N-methyltransferase","1"," 674773"," 675675","-","  903"," 300","Primary Assembly",NA,""
"Bcen2424_0604","ABK07357.1","acetyl-CoA carboxylase, biotin carboxylase","1"," 675678"," 677045","-"," 1368"," 455","Primary Assembly"," 3","00620 Pyruvate metabolism PATH:ko00620 - 00640 Propanoate metabolism PATH:ko00640 - 00061 Fatty acid biosynthesis PATH:ko00061"
"Bcen2424_0605","ABK07358.1","biotin carboxyl carrier protein","1"," 677133"," 677606","-","  474"," 157","Primary Assembly"," 3","00620 Pyruvate metabolism PATH:ko00620 - 00640 Propanoate metabolism PATH:ko00640 - 00061 Fatty acid biosynthesis PATH:ko00061"
"Bcen2424_0606","ABK07359.1","3-dehydroquinate dehydratase","1"," 677673"," 678125","-","  453"," 150","Primary Assembly",NA,""
"Bcen2424_0607","ABK07360.1","Redoxin domain protein","1"," 678320"," 678868","-","  549"," 182","Primary Assembly",NA,""
"Bcen2424_0608","ABK07361.1","transposase, IS605 OrfB family","1"," 679084"," 679512","+","  429"," 142","Primary Assembly",NA,""
"Bcen2424_0609","ABK07362.1","conserved hypothetical protein","1"," 679514"," 680158","-","  645"," 214","Primary Assembly",NA,""
"Bcen2424_0610","ABK07363.1","UDP-N-acetylmuramate","1"," 680405"," 681790","+"," 1386"," 461","Primary Assembly",NA,""
"Bcen2424_0611","ABK07364.1","protein of unknown function UPF0227","1"," 681787"," 682356","+","  570"," 189","Primary Assembly",NA,""
"Bcen2424_0612","ABK07365.1","ribonuclease II","1"," 682437"," 684521","+"," 2085"," 694","Primary Assembly",NA,""
"Bcen2424_0613","ABK07366.1","shikimate dehydrogenase","1"," 684518"," 685384","+","  867"," 288","Primary Assembly",NA,""
"Bcen2424_0614","ABK07367.1","monofunctional biosynthetic peptidoglycan transglycosylase","1"," 685399"," 686136","+","  738"," 245","Primary Assembly",NA,""
"Bcen2424_0615","ABK07368.1","peptidase S10, serine carboxypeptidase","1"," 686560"," 688170","+"," 1611"," 536","Primary Assembly",NA,""
"Bcen2424_0616","ABK07369.1","conserved hypothetical protein","1"," 688250"," 688651","+","  402"," 133","Primary Assembly",NA,""
"Bcen2424_0617","ABK07370.1","transcriptional regulator, IclR family","1"," 689001"," 689900","+","  900"," 299","Primary Assembly",NA,""
"Bcen2424_0618","ABK07371.1","2-keto-3-deoxygalactonate kinase","1"," 689897"," 690922","+"," 1026"," 341","Primary Assembly",NA,""
"Bcen2424_0619","ABK07372.1","2-keto-3-deoxy-phosphogalactonate aldolase","1"," 690945"," 691622","+","  678"," 225","Primary Assembly",NA,""
"Bcen2424_0620","ABK07373.1","short-chain dehydrogenase/reductase SDR","1"," 691619"," 692401","+","  783"," 260","Primary Assembly",NA,""
"Bcen2424_0621","ABK07374.1","L-arabinose-binding protein","1"," 692513"," 693508","+","  996"," 331","Primary Assembly",NA,""
"Bcen2424_0622","ABK07375.1","L-arabinose ABC transporter ATP-binding protein","1"," 693576"," 695087","+"," 1512"," 503","Primary Assembly",NA,""
"Bcen2424_0623","ABK07376.1","L-arabinose ABC transporter membrane protein","1"," 695165"," 696181","+"," 1017"," 338","Primary Assembly",NA,""
"Bcen2424_0624","ABK07377.1","short-chain dehydrogenase/reductase SDR","1"," 696210"," 697025","+","  816"," 271","Primary Assembly",NA,""
"Bcen2424_0625","ABK07378.1","Aldose 1-epimerase","1"," 697075"," 698136","+"," 1062"," 353","Primary Assembly"," 3","00010 Glycolysis / Gluconeogenesis PATH:ko00010 - 00052 Galactose metabolism PATH:ko00052"
"Bcen2424_0626","ABK07379.1","orotidine 5'-phosphate decarboxylase","1"," 698176"," 699003","+","  828"," 275","Primary Assembly",NA,""
"Bcen2424_0627","ABK07380.1","conserved hypothetical protein","1"," 699230"," 700288","+"," 1059"," 352","Primary Assembly",NA,""
"Bcen2424_0628","ABK07381.1","CinA domain protein","1"," 700327"," 700827","-","  501"," 166","Primary Assembly",NA,""
"Bcen2424_0629","ABK07382.1","phosphatidylglycerophosphatase","1"," 700873"," 701409","-","  537"," 178","Primary Assembly",NA,""
"Bcen2424_0630","ABK07383.1","thiamine-phosphate kinase","1"," 701399"," 702397","-","  999"," 332","Primary Assembly",NA,""
"Bcen2424_0631","ABK07384.1","Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))., Phosphate acetyltransferase","1"," 702517"," 704874","+"," 2358"," 785","Primary Assembly"," 3","00620 Pyruvate metabolism PATH:ko00620 - 00710 Carbon fixation in photosynthetic organisms PATH:ko00710"
"Bcen2424_0632","ABK07385.1","guanine-specific ribonuclease N1 and T1","1"," 705250"," 705681","+","  432"," 143","Primary Assembly",NA,""
"Bcen2424_0633","ABK07386.1","conserved hypothetical protein","1"," 705698"," 706261","+","  564"," 187","Primary Assembly",NA,""
"Bcen2424_0634","ABK07387.1","conserved hypothetical protein","1"," 706470"," 707213","+","  744"," 247","Primary Assembly",NA,""
"Bcen2424_0635","ABK07388.1","protein of unknown function DUF558","1"," 707527"," 708315","-","  789"," 262","Primary Assembly",NA,""
"Bcen2424_0636","ABK07389.1","Glyoxalase/bleomycin resistance protein/dioxygenase","1"," 708312"," 708728","-","  417"," 138","Primary Assembly",NA,""
"Bcen2424_0637","ABK07390.1","spermidine synthase","1"," 708817"," 709674","-","  858"," 285","Primary Assembly"," 3","00270 Cysteine and methionine metabolism PATH:ko00270 - 00330 Arginine and proline metabolism PATH:ko00330 - 00410 beta-Alanine metabolism PATH:ko00410 - 00480 Glutathione metabolism PATH:ko00480"
"Bcen2424_0638","ABK07391.1","transketolase","1"," 709890"," 711962","+"," 2073"," 690","Primary Assembly"," 3","00030 Pentose phosphate pathway PATH:ko00030 - 00710 Carbon fixation in photosynthetic organisms PATH:ko00710 - 01051 Biosynthesis of ansamycins PATH:ko01051"
"Bcen2424_0639","ABK07392.1","glyceraldehyde-3-phosphate dehydrogenase","1"," 712054"," 713064","+"," 1011"," 336","Primary Assembly"," 3","00010 Glycolysis / Gluconeogenesis PATH:ko00010 - 00710 Carbon fixation in photosynthetic organisms PATH:ko00710"
"Bcen2424_0640","ABK07393.1","transcriptional regulator, LysR family","1"," 713142"," 714032","-","  891"," 296","Primary Assembly",NA,""
"Bcen2424_0641","ABK07394.1","short-chain dehydrogenase/reductase SDR","1"," 714186"," 714959","+","  774"," 257","Primary Assembly",NA,""
"Bcen2424_0642","ABK07395.1","Alcohol dehydrogenase GroES domain protein","1"," 714973"," 716031","+"," 1059"," 352","Primary Assembly",NA,""
"Bcen2424_0643","ABK07396.1","major facilitator superfamily MFS_1","1"," 716165"," 717322","-"," 1158"," 385","Primary Assembly",NA,""
"Bcen2424_0644","ABK07397.1","transcriptional regulator, LysR family","1"," 717678"," 718568","+","  891"," 296","Primary Assembly",NA,""
"Bcen2424_0645","ABK07398.1","transcriptional regulator, GntR family","1"," 718611"," 719303","-","  693"," 230","Primary Assembly",NA,""
"Bcen2424_0646","ABK07399.1","sodium:dicarboxylate symporter","1"," 719544"," 720863","+"," 1320"," 439","Primary Assembly",NA,""
"Bcen2424_0647","ABK07400.1","Allantoicase","1"," 720968"," 721975","+"," 1008"," 335","Primary Assembly",NA,""
"Bcen2424_0648","ABK07401.1","Ureidoglycolate hydrolase","1"," 721990"," 722523","+","  534"," 177","Primary Assembly",NA,""
"Bcen2424_0649","ABK07402.1","ferric uptake regulator, Fur family","1"," 722617"," 723045","-","  429"," 142","Primary Assembly",NA,""
"Bcen2424_0650","ABK07403.1","SmpA/OmlA domain protein","1"," 723187"," 723993","+","  807"," 268","Primary Assembly",NA,""
"Bcen2424_0651","ABK07404.1","dihydrodipicolinate reductase","1"," 724059"," 724856","+","  798"," 265","Primary Assembly"," 3","00300 Lysine biosynthesis PATH:ko00300 - 00261 Monobactam biosynthesis PATH:ko00261"
"Bcen2424_0652","ABK07405.1","MotA/TolQ/ExbB proton channel","1"," 724875"," 725543","+","  669"," 222","Primary Assembly",NA,""
"Bcen2424_0653","ABK07406.1","Biopolymer transport protein ExbD/TolR","1"," 725568"," 726023","+","  456"," 151","Primary Assembly",NA,""
"Bcen2424_0654","ABK07407.1","leucyl-tRNA synthetase","1"," 726316"," 728910","+"," 2595"," 864","Primary Assembly",NA,""
"Bcen2424_0655","ABK07408.1","Rare lipoprotein B","1"," 728970"," 729500","+","  531"," 176","Primary Assembly",NA,""
"Bcen2424_0656","ABK07409.1","DNA polymerase III, delta subunit","1"," 729519"," 730613","+"," 1095"," 364","Primary Assembly"," 3","03030 DNA replication PATH:ko03030 - 03430 Mismatch repair PATH:ko03430 - 03440 Homologous recombination PATH:ko03440"
"Bcen2424_0657","ABK07410.1","glutamate-5-semialdehyde dehydrogenase","1"," 730748"," 732055","+"," 1308"," 435","Primary Assembly"," 3","00330 Arginine and proline metabolism PATH:ko00330 - 00332 Carbapenem biosynthesis PATH:ko00332"
"Bcen2424_0658","ABK07411.1","conserved hypothetical protein 701","1"," 732079"," 732501","+","  423"," 140","Primary Assembly",NA,""
"Bcen2424_0659","ABK07412.1","transcriptional regulator, RpiR family","1"," 732595"," 733443","-","  849"," 282","Primary Assembly",NA,""
"Bcen2424_0660","ABK07413.1","6-phosphogluconate dehydratase","1"," 733738"," 735594","+"," 1857"," 618","Primary Assembly",NA,""
"Bcen2424_0661","ABK07414.1","2-keto-3-deoxy-phosphogluconate aldolase","1"," 735614"," 736240","+","  627"," 208","Primary Assembly"," 3","00030 Pentose phosphate pathway PATH:ko00030 - 00630 Glyoxylate and dicarboxylate metabolism PATH:ko00630"
"Bcen2424_0662","ABK07415.1","gluconate permease GntT","1"," 736458"," 737819","+"," 1362"," 453","Primary Assembly",NA,""
"Bcen2424_0663","ABK07416.1","gluconate kinase, SKI family","1"," 737833"," 738336","+","  504"," 167","Primary Assembly",NA,""
"Bcen2424_0664","ABK07417.1","transcriptional regulator, TetR family","1"," 738408"," 739055","-","  648"," 215","Primary Assembly",NA,""
"Bcen2424_0665","ABK07418.1","FAD dependent oxidoreductase","1"," 739348"," 740775","+"," 1428"," 475","Primary Assembly",NA,""
"Bcen2424_0666","ABK07419.1","Adenylosuccinate lyase","1"," 740852"," 742240","-"," 1389"," 462","Primary Assembly"," 3","00230 Purine metabolism PATH:ko00230 - 00250 Alanine, aspartate and glutamate metabolism PATH:ko00250"
"Bcen2424_0667","ABK07420.1","transcriptional regulator, LysR family","1"," 742506"," 743471","+","  966"," 321","Primary Assembly",NA,""
"Bcen2424_0668","ABK07421.1","Glu/Leu/Phe/Val dehydrogenase, C terminal","1"," 743758"," 745044","+"," 1287"," 428","Primary Assembly"," 3","00910 Nitrogen metabolism PATH:ko00910 - 00250 Alanine, aspartate and glutamate metabolism PATH:ko00250 - 00220 Arginine biosynthesis PATH:ko00220 - 00471 D-Glutamine and D-glutamate metabolism PATH:ko00471"
"Bcen2424_0669","ABK07422.1","L-aspartate-binding protein / L-glutamate-binding protein","1"," 745306"," 746199","+","  894"," 297","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02020 Two-component system PATH:ko02020"
"Bcen2424_0670","ABK07423.1","L-aspartate ABC transporter membrane protein / L-glutamate ABC transporter membrane protein","1"," 746284"," 747024","+","  741"," 246","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02020 Two-component system PATH:ko02020"
"Bcen2424_0671","ABK07424.1","L-aspartate ABC transporter membrane protein / L-glutamate ABC transporter membrane protein","1"," 747021"," 747701","+","  681"," 226","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02020 Two-component system PATH:ko02020"
"Bcen2424_0672","ABK07425.1","L-glutamate ABC transporter ATP-binding protein / L-aspartate ABC transporter ATP-binding protein","1"," 747698"," 748423","+","  726"," 241","Primary Assembly"," 3","02010 ABC transporters PATH:ko02010 - 02020 Two-component system PATH:ko02020"
"Bcen2424_0673","ABK07426.1","outer membrane autotransporter barrel domain protein","1"," 748506"," 753794","-"," 5289","1762","Primary Assembly",NA,""
"Bcen2424_0674","ABK07427.1","glutamine amidotransferase, class-II","1"," 754380"," 755294","-","  915"," 304","Primary Assembly",NA,""
"Bcen2424_0675","ABK07428.1","dihydroorotase","1"," 755470"," 756564","+"," 1095"," 364","Primary Assembly",NA,""
"Bcen2424_0676","ABK07429.1","conserved hypothetical protein","1"," 756561"," 757451","+","  891"," 296","Primary Assembly",NA,""
"Bcen2424_0677","ABK07430.1","OsmC family protein","1"," 757943"," 758365","-","  423"," 140","Primary Assembly",NA,""
"Bcen2424_0678","ABK07431.1","conserved hypothetical protein","1"," 758818"," 759123","-","  306"," 101","Primary Assembly",NA,""
"Bcen2424_0679","ABK07432.1","LSU ribosomal protein L13P","1"," 759333"," 759863","+","  531"," 176","Primary Assembly",NA,""
"Bcen2424_0680","ABK07433.1","SSU ribosomal protein S9P","1"," 759874"," 760266","+","  393"," 130","Primary Assembly",NA,""
"Bcen2424_0681","ABK07434.1","iron-sulfur cluster assembly accessory protein","1"," 760495"," 760866","+","  372"," 123","Primary Assembly",NA,""
"Bcen2424_0682","ABK07435.1","protein of unknown function UPF0075","1"," 760974"," 762122","-"," 1149"," 382","Primary Assembly",NA,""
"Bcen2424_0683","ABK07436.1","tyrosyl-tRNA synthetase","1"," 762265"," 763506","+"," 1242"," 413","Primary Assembly",NA,""
"Bcen2424_0684","ABK07437.1","D-tyrosyl-tRNA(Tyr) deacylase","1"," 763503"," 763961","+","  459"," 152","Primary Assembly",NA,""
"Bcen2424_0685","ABK07438.1","phosphoglycerate mutase","1"," 763985"," 764650","+","  666"," 221","Primary Assembly"," 3","00010 Glycolysis / Gluconeogenesis PATH:ko00010 - 00680 Methane metabolism PATH:ko00680 - 00260 Glycine, serine and threonine metabolism PATH:ko00260"
"Bcen2424_0686","ABK07439.1","conserved hypothetical protein","1"," 764713"," 765849","-"," 1137"," 378","Primary Assembly",NA,""
"Bcen2424_0687","ABK07440.1","conserved hypothetical protein","1"," 765995"," 766948","-","  954"," 317","Primary Assembly",NA,""
"Bcen2424_0688","ABK07441.1","Holliday junction DNA helicase RuvB","1"," 766972"," 768042","-"," 1071"," 356","Primary Assembly",NA,""
"Bcen2424_0689","ABK07442.1","Holliday junction DNA helicase RuvA","1"," 768151"," 768732","-","  582"," 193","Primary Assembly",NA,""
"Bcen2424_0690","ABK07443.1","crossover junction endodeoxyribonuclease RuvC","1"," 768933"," 769475","-","  543"," 180","Primary Assembly",NA,""
"Bcen2424_0691","ABK07444.1","IMP cyclohydrolase","1"," 769630"," 771195","-"," 1566"," 521","Primary Assembly"," 3","00230 Purine metabolism PATH:ko00230 - 00670 One carbon pool by folate PATH:ko00670"
"Bcen2424_0692","ABK07445.1","helix-turn-helix, Fis-type","1"," 771240"," 771473","-","  234","  77","Primary Assembly",NA,""
"Bcen2424_0693","ABK07446.1","tRNA-U20-dihydrouridine synthase","1"," 771470"," 772537","-"," 1068"," 355","Primary Assembly",NA,""
"Bcen2424_0694","ABK07447.1","Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family","1"," 772675"," 773862","-"," 1188"," 395","Primary Assembly",NA,""
"Bcen2424_0695","ABK07448.1","aminopeptidase P, Metallo peptidase, MEROPS family M24B","1"," 773900"," 775285","-"," 1386"," 461","Primary Assembly",NA,""
"Bcen2424_0696","ABK07449.1","Glutathione S-transferase, N-terminal domain protein","1"," 775470"," 776087","+","  618"," 205","Primary Assembly",NA,""
"Bcen2424_0697","ABK07450.1","Glutamate synthase (NADPH)","1"," 776198"," 777817","-"," 1620"," 539","Primary Assembly",NA,""
"Bcen2424_0698","ABK07451.1","tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase","1"," 777936"," 779111","-"," 1176"," 391","Primary Assembly",NA,""
"Bcen2424_0699","ABK07452.1","NUDIX hydrolase","1"," 779108"," 779626","-","  519"," 172","Primary Assembly",NA,""
"Bcen2424_0700","ABK07453.1","alanine dehydrogenase/PNT domain protein","1"," 779896"," 781035","+"," 1140"," 379","Primary Assembly",NA,""
"Bcen2424_0701","ABK07454.1","NAD/NADP transhydrogenase alpha subunit-like protein","1"," 781047"," 781373","+","  327"," 108","Primary Assembly",NA,""
"Bcen2424_0702","ABK07455.1","NAD(P) transhydrogenase, beta subunit","1"," 781370"," 782824","+"," 1455"," 484","Primary Assembly",NA,""
"Bcen2424_0703","ABK07456.1","transcriptional regulator, LysR family","1"," 782916"," 783836","-","  921"," 306","Primary Assembly",NA,""
"Bcen2424_0704","ABK07457.1","Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase","1"," 783926"," 784849","+","  924"," 307","Primary Assembly"," 3","00910 Nitrogen metabolism PATH:ko00910 - 00380 Tryptophan metabolism PATH:ko00380 - 00460 Cyanoamino acid metabolism PATH:ko00460 - 00627 Aminobenzoate degradation PATH:ko00627 - 00643 Styrene degradation PATH:ko00643"
"Bcen2424_0705","ABK07458.1","Helix-turn-helix, type 11 domain protein","1"," 784930"," 785616","-","  687"," 228","Primary Assembly",NA,""
"Bcen2424_0706","ABK07459.1","glyoxalase/bleomycin resistance protein/dioxygenase","1"," 785690"," 786094","-","  405"," 134","Primary Assembly",NA,""
"Bcen2424_0707","ABK07460.1","conserved hypothetical protein","1"," 786247"," 786408","+","  162","  53","Primary Assembly",NA,""
"Bcen2424_0708","ABK07461.1","putative RNA methylase","1"," 786482"," 787786","-"," 1305"," 434","Primary Assembly",NA,""
"Bcen2424_0709","ABK07462.1","site-specific recombinase-like protein","1"," 787941"," 790055","-"," 2115"," 704","Primary Assembly",NA,""
"Bcen2424_0710","ABK07463.1","protein of unknown function DUF330","1"," 790533"," 791249","-","  717"," 238","Primary Assembly",NA,""
"Bcen2424_0711","ABK07464.1","Mammalian cell entry related domain protein","1"," 791246"," 792865","-"," 1620"," 539","Primary Assembly",NA,""
"Bcen2424_0712","ABK07465.1","Paraquat-inducible protein A","1"," 792858"," 793493","-","  636"," 211","Primary Assembly",NA,""
