locusTag	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non.redundant_refseq	related_accession	name	symbol	GeneID	feature_interval_length	product_length	attributes	level	annotation
Bcen2424_6066	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	211910	213346	+	ABK12798.1	NA	NA	BFD domain protein (2Fe-2S)-binding domain protein	NA	NA	1437	478	NA	NA	
Bcen2424_3380	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	212440	212790	+	ABK10119.1	NA	NA	conserved hypothetical protein	NA	NA	351	116	NA	NA	
Bcen2424_0189	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	212767	213036	+	ABK06943.1	NA	NA	Sel1 domain protein repeat-containing protein	NA	NA	270	89	NA	NA	
Bcen2424_3381	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	212919	213485	+	ABK10120.1	NA	NA	conserved hypothetical protein	NA	NA	567	188	NA	NA	
Bcen2424_0190	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	213275	213565	+	ABK06944.1	NA	NA	hypothetical protein	NA	NA	291	96	NA	NA	
Bcen2424_6067	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	213387	214169	+	ABK12799.1	NA	NA	amino acid ABC transporter substrate-binding protein, PAAT family	NA	NA	783	260	NA	NA	
Bcen2424_3382	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	213513	214388	-	ABK10121.1	NA	NA	transcriptional regulator, LysR family	NA	NA	876	291	NA	NA	
Bcen2424_0191	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	213578	214912	+	ABK06945.1	NA	NA	conserved hypothetical protein	NA	NA	1335	444	NA	NA	
Bcen2424_6068	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	214462	215373	+	ABK12800.1	NA	NA	transcriptional regulator, LysR family	NA	NA	912	303	NA	NA	
Bcen2424_3383	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	214551	215870	+	ABK10122.1	NA	NA	uncharacterized membrane-anchored protein	NA	NA	1320	439	NA	NA	
Bcen2424_0192	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	215234	215902	-	ABK06946.1	NA	NA	hypothetical protein	NA	NA	669	222	NA	NA	
Bcen2424_6069	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	215594	216010	-	ABK12801.1	NA	NA	conserved hypothetical protein	NA	NA	417	138	NA	NA	
Bcen2424_0193	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	215886	217034	-	ABK06947.1	NA	NA	hypothetical protein	NA	NA	1149	382	NA	NA	
Bcen2424_3384	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	215905	216108	+	ABK10123.1	NA	NA	conserved hypothetical protein	NA	NA	204	67	NA	NA	
Bcen2424_6070	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	216028	217047	-	ABK12802.1	NA	NA	aldo/keto reductase	NA	NA	1020	339	NA	3	00051 Fructose and mannose metabolism [PATH:ko00051]|00053 Ascorbate and aldarate metabolism [PATH:ko00053]
Bcen2424_3385	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	216169	216576	-	ABK10124.1	NA	NA	conserved hypothetical protein	NA	NA	408	135	NA	NA	
Bcen2424_3386	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	216669	217565	-	ABK10125.1	NA	NA	transcriptional regulator, LysR family	NA	NA	897	298	NA	NA	
Bcen2424_0194	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	217031	217984	-	ABK06948.1	NA	NA	conserved hypothetical protein	NA	NA	954	317	NA	NA	
Bcen2424_6071	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	217382	217723	+	ABK12803.1	NA	NA	conserved hypothetical protein	NA	NA	342	113	NA	NA	
Bcen2424_3387	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	217685	218737	+	ABK10126.1	NA	NA	transposase	NA	NA	1053	350	NA	NA	
Bcen2424_6072	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	218017	219216	+	ABK12804.1	NA	NA	efflux transporter, RND family, MFP subunit	NA	NA	1200	399	NA	NA	
Bcen2424_0195	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	218500	218814	+	ABK06949.1	NA	NA	hypothetical protein	NA	NA	315	104	NA	NA	
Bcen2424_3388	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	218831	219490	+	ABK10127.1	NA	NA	Carbonate dehydratase	NA	NA	660	219	NA	NA	
Bcen2424_0196	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	219131	219466	-	ABK06950.1	NA	NA	hypothetical protein	NA	NA	336	111	NA	NA	
Bcen2424_6073	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	219213	222404	+	ABK12805.1	NA	NA	transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	NA	NA	3192	1063	NA	NA	
Bcen2424_3389	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	219521	219991	+	ABK10128.1	NA	NA	cyanate lyase	NA	NA	471	156	NA	NA	
Bcen2424_0197	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	219607	220080	-	ABK06951.1	NA	NA	hypothetical protein	NA	NA	474	157	NA	NA	
Bcen2424_3390	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	220141	220575	+	ABK10129.1	NA	NA	GCN5-related N-acetyltransferase	NA	NA	435	144	NA	NA	
Bcen2424_0198	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	220256	220585	+	ABK06952.1	NA	NA	transcriptional regulator, XRE family	NA	NA	330	109	NA	NA	
Bcen2424_0199	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	220586	221224	-	ABK06953.1	NA	NA	conserved hypothetical protein	NA	NA	639	212	NA	NA	
Bcen2424_3391	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	220637	221533	-	ABK10130.1	NA	NA	transcriptional regulator, LysR family	NA	NA	897	298	NA	NA	
Bcen2424_0200	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	221226	221519	-	ABK06954.1	NA	NA	plasmid related protein	NA	NA	294	97	NA	NA	
Bcen2424_0201	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	221516	221899	-	ABK06955.1	NA	NA	hypothetical protein	NA	NA	384	127	NA	NA	
Bcen2424_3392	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	221672	222337	+	ABK10131.1	NA	NA	Trans-aconitate 2-methyltransferase	NA	NA	666	221	NA	NA	
Bcen2424_0202	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	222369	223451	-	ABK06956.1	NA	NA	conserved hypothetical protein	NA	NA	1083	360	NA	NA	
Bcen2424_6074	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	222401	223795	+	ABK12806.1	NA	NA	RND efflux system, outer membrane lipoprotein, NodT family	NA	NA	1395	464	NA	NA	
Bcen2424_3393	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	222499	223176	-	ABK10132.1	NA	NA	GCN5-related N-acetyltransferase	NA	NA	678	225	NA	NA	
Bcen2424_3394	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	223233	224117	-	ABK10133.1	NA	NA	transcriptional regulator, LuxR family	NA	NA	885	294	NA	NA	
Bcen2424_0203	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	223448	224398	-	ABK06957.1	NA	NA	conserved hypothetical protein	NA	NA	951	316	NA	NA	
Bcen2424_6075	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	223901	224803	-	ABK12807.1	NA	NA	transcriptional regulator, LysR family	NA	NA	903	300	NA	NA	
Bcen2424_0204	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	224462	225457	-	ABK06958.1	NA	NA	GP47	NA	NA	996	331	NA	NA	
Bcen2424_3395	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	224589	225980	-	ABK10134.1	NA	NA	major facilitator superfamily MFS_1	NA	NA	1392	463	NA	NA	
Bcen2424_6076	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	225010	225921	-	ABK12808.1	NA	NA	NAD-dependent epimerase/dehydratase	NA	NA	912	303	NA	NA	
Bcen2424_0205	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	225532	226500	-	ABK06959.1	NA	NA	conserved hypothetical protein	NA	NA	969	322	NA	NA	
Bcen2424_3396	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	226192	226566	-	ABK10135.1	NA	NA	conserved hypothetical protein	NA	NA	375	124	NA	NA	
Bcen2424_6077	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	226265	227434	-	ABK12809.1	NA	NA	beta-lactamase	NA	NA	1170	389	NA	3	02020 Two-component system [PATH:ko02020]|01501 beta-Lactam resistance [PATH:ko01501]
Bcen2424_3397	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	226584	226964	-	ABK10136.1	NA	NA	transcriptional regulator, HxlR family	NA	NA	381	126	NA	NA	
Bcen2424_3398	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	227101	227733	+	ABK10137.1	NA	NA	Glutathione S-transferase, C-terminal domain protein	NA	NA	633	210	NA	NA	
Bcen2424_0206	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	227557	229626	+	ABK06960.1	NA	NA	ATP-dependent endonuclease of the OLD family-like protein	NA	NA	2070	689	NA	NA	
Bcen2424_3399	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	227821	228207	+	ABK10138.1	NA	NA	conserved hypothetical protein	NA	NA	387	128	NA	NA	
Bcen2424_6078	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	228059	229363	+	ABK12810.1	NA	NA	conserved hypothetical protein	NA	NA	1305	434	NA	NA	
Bcen2424_3400	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	228299	229591	+	ABK10139.1	NA	NA	outer membrane efflux protein	NA	NA	1293	430	NA	NA	
Bcen2424_6079	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	229357	230139	+	ABK12811.1	NA	NA	conserved hypothetical protein	NA	NA	783	260	NA	NA	
Bcen2424_3401	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	229603	231126	+	ABK10140.1	NA	NA	efflux transporter, RND family, MFP subunit	NA	NA	1524	507	NA	NA	
Bcen2424_0207	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	229619	231355	+	ABK06961.1	NA	NA	conserved hypothetical protein	NA	NA	1737	578	NA	3	03420 Nucleotide excision repair [PATH:ko03420]|03430 Mismatch repair [PATH:ko03430]
Bcen2424_6080	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	230136	232142	+	ABK12812.1	NA	NA	Sel1 domain protein repeat-containing protein	NA	NA	2007	668	NA	NA	
Bcen2424_3402	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	231123	234329	+	ABK10141.1	NA	NA	heavy metal efflux pump, CzcA family	NA	NA	3207	1068	NA	NA	
Bcen2424_0208	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	231370	232266	+	ABK06962.1	NA	NA	conserved hypothetical protein	NA	NA	897	298	NA	NA	
Bcen2424_6081	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	232189	233001	-	ABK12813.1	NA	NA	alpha/beta hydrolase fold protein	NA	NA	813	270	NA	NA	
Bcen2424_0209	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	232517	233656	-	ABK06963.1	NA	NA	phage integrase family protein	NA	NA	1140	379	NA	NA	
Bcen2424_6082	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	233072	233554	-	ABK12814.1	NA	NA	conserved hypothetical protein	NA	NA	483	160	NA	NA	
Bcen2424_0210	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	233928	235370	-	ABK06964.1	NA	NA	conserved hypothetical protein	NA	NA	1443	480	NA	NA	
Bcen2424_6083	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	233960	234094	+	ABK12815.1	NA	NA	conserved hypothetical protein	NA	NA	135	44	NA	NA	
Bcen2424_6084	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	234235	236937	-	ABK12816.1	NA	NA	putative alpha-1,2-mannosidase	NA	NA	2703	900	NA	NA	
Bcen2424_3403	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	234326	234694	+	ABK10142.1	NA	NA	efflux transporter, RND family, MFP subunit	NA	NA	369	122	NA	NA	
Bcen2424_3404	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	234789	235799	-	ABK10143.1	NA	NA	sodium/calcium exchanger membrane region	NA	NA	1011	336	NA	NA	
Bcen2424_0211	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	235376	236446	-	ABK06965.1	NA	NA	conserved hypothetical protein	NA	NA	1071	356	NA	NA	
Bcen2424_3405	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	236154	236429	+	ABK10144.1	NA	NA	protein of unknown function DUF156	NA	NA	276	91	NA	NA	
Bcen2424_3406	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	236442	237455	+	ABK10145.1	NA	NA	cation diffusion facilitator family transporter	NA	NA	1014	337	NA	NA	
Bcen2424_0212	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	236447	239479	-	ABK06966.1	NA	NA	Integrase, catalytic region	NA	NA	3033	1010	NA	NA	
Bcen2424_6085	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	237357	238544	-	ABK12817.1	NA	NA	conserved hypothetical protein	NA	NA	1188	395	NA	NA	
Bcen2424_3407	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	237458	237643	+	ABK10146.1	NA	NA	protein of unknown function DUF1289	NA	NA	186	61	NA	NA	
Bcen2424_3408	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	237735	238943	+	ABK10147.1	NA	NA	major facilitator superfamily MFS_1	NA	NA	1209	402	NA	NA	
Bcen2424_6086	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	238682	240184	-	ABK12818.1	NA	NA	MlrC domain protein	NA	NA	1503	500	NA	NA	
Bcen2424_3409	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	238967	240376	-	ABK10148.1	NA	NA	heavy metal sensor signal transduction histidine kinase	NA	NA	1410	469	NA	NA	
Bcen2424_6087	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	240181	241470	-	ABK12819.1	NA	NA	amidase, hydantoinase/carbamoylase family	NA	NA	1290	429	NA	NA	
Bcen2424_3410	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	240373	241044	-	ABK10149.1	NA	NA	two component heavy metal response transcriptional regulator, winged helix family	NA	NA	672	223	NA	NA	
Bcen2424_0213	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	240900	241487	-	ABK06967.1	NA	NA	conserved hypothetical protein	NA	NA	588	195	NA	NA	
Bcen2424_3411	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	241208	241633	+	ABK10150.1	NA	NA	conserved hypothetical protein	NA	NA	426	141	NA	NA	
Bcen2424_0214	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	241496	242050	-	ABK06968.1	NA	NA	conserved hypothetical protein	NA	NA	555	184	NA	NA	
Bcen2424_6088	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	241505	242206	-	ABK12820.1	NA	NA	amino acid/amide ABC transporter ATP-binding protein 2, HAAT family	NA	NA	702	233	NA	3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_3412	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	241650	241991	+	ABK10151.1	NA	NA	conserved hypothetical protein	NA	NA	342	113	NA	NA	
Bcen2424_3413	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	241988	243490	+	ABK10152.1	NA	NA	outer membrane efflux protein	NA	NA	1503	500	NA	NA	
Bcen2424_0215	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	242169	242708	+	ABK06969.1	NA	NA	conserved hypothetical protein	NA	NA	540	179	NA	NA	
Bcen2424_6089	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	242203	242970	-	ABK12821.1	NA	NA	amino acid/amide ABC transporter ATP-binding protein 1, HAAT family	NA	NA	768	255	NA	3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_6090	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	242967	244010	-	ABK12822.1	NA	NA	amino acid/amide ABC transporter membrane protein 2, HAAT family	NA	NA	1044	347	NA	3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_0216	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	242993	243385	+	ABK06970.1	NA	NA	conserved hypothetical protein	NA	NA	393	130	NA	NA	
Bcen2424_3414	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	243492	244787	+	ABK10153.1	NA	NA	multicopper oxidase, type 2; multicopper oxidase, type 3	NA	NA	1296	431	NA	NA	
Bcen2424_6091	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	244007	244933	-	ABK12823.1	NA	NA	amino acid/amide ABC transporter membrane protein 1, HAAT family	NA	NA	927	308	NA	3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_0217	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	244043	245779	+	ABK06971.1	NA	NA	N-6 DNA methylase	NA	NA	1737	578	NA	NA	
Bcen2424_3415	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	244854	245198	+	ABK10154.1	NA	NA	conserved hypothetical protein	NA	NA	345	114	NA	NA	
Bcen2424_6092	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	244938	246161	-	ABK12824.1	NA	NA	amino acid/amide ABC transporter substrate-binding protein, HAAT family	NA	NA	1224	407	NA	3	02010 ABC transporters [PATH:ko02010]|02024 Quorum sensing [PATH:ko02024]
Bcen2424_3416	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	245215	245595	+	ABK10155.1	NA	NA	copper resistance protein CopC	NA	NA	381	126	NA	NA	
Bcen2424_3417	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	245592	246533	+	ABK10156.1	NA	NA	copper resistance D domain protein	NA	NA	942	313	NA	NA	
Bcen2424_6093	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	246376	247233	+	ABK12825.1	NA	NA	transcriptional regulator, GntR family	NA	NA	858	285	NA	NA	
Bcen2424_3418	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	246703	248517	+	ABK10157.1	NA	NA	Endonuclease/exonuclease/phosphatase	NA	NA	1815	604	NA	NA	
Bcen2424_6094	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	247364	248803	-	ABK12826.1	NA	NA	aldehyde dehydrogenase	NA	NA	1440	479	NA	NA	
Bcen2424_0218	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	247523	247765	-	ABK06972.1	NA	NA	hypothetical protein	NA	NA	243	80	NA	NA	
Bcen2424_0219	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	248036	248614	+	ABK06973.1	NA	NA	conserved hypothetical protein	NA	NA	579	192	NA	NA	
Bcen2424_0220	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	248611	252816	+	ABK06974.1	NA	NA	helicase domain protein	NA	NA	4206	1401	NA	NA	
Bcen2424_3419	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	248696	248977	-	ABK10158.1	NA	NA	conserved hypothetical protein	NA	NA	282	93	NA	NA	
Bcen2424_6095	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	248832	250229	-	ABK12827.1	NA	NA	aminotransferase	NA	NA	1398	465	NA	NA	
Bcen2424_3420	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	249216	251063	+	ABK10159.1	NA	NA	peptidase S10, serine carboxypeptidase	NA	NA	1848	615	NA	NA	
Bcen2424_6096	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	250281	251669	-	ABK12828.1	NA	NA	amino acid/polyamine/organocation transporter, APC superfamily	NA	NA	1389	462	NA	NA	
Bcen2424_3421	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	251107	251538	+	ABK10160.1	NA	NA	conserved hypothetical protein	NA	NA	432	143	NA	NA	
Bcen2424_3422	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	251628	252638	-	ABK10161.1	NA	NA	transcriptional regulator, AraC family with amidase-like domain	NA	NA	1011	336	NA	NA	
Bcen2424_6097	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	251846	253015	+	ABK12829.1	NA	NA	transcriptional regulator, AraC family	NA	NA	1170	389	NA	NA	
Bcen2424_3423	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	252727	253827	+	ABK10162.1	NA	NA	ThiJ/PfpI domain protein	NA	NA	1101	366	NA	NA	
Bcen2424_0221	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	252818	255043	+	ABK06975.1	NA	NA	conserved hypothetical protein	NA	NA	2226	741	NA	NA	
Bcen2424_6098	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	253089	253487	+	ABK12830.1	NA	NA	conserved hypothetical protein	NA	NA	399	132	NA	NA	
Bcen2424_6099	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	253678	254394	+	ABK12831.1	NA	NA	binding-protein-dependent transport systems inner membrane component	NA	NA	717	238	NA	NA	
Bcen2424_3424	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	253843	254922	-	ABK10163.1	NA	NA	Alcohol dehydrogenase GroES domain protein	NA	NA	1080	359	NA	3	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]|00071 Fatty acid degradation [PATH:ko00071]|00350 Tyrosine metabolism [PATH:ko00350]|00625 Chloroalkane and chloroalkene degradation [PATH:ko00625]|00626 Naphthalene degradation [PATH:ko00626]
Bcen2424_6100	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	254391	255302	+	ABK12832.1	NA	NA	Substrate-binding region of ABC-type glycine betaine transport system	NA	NA	912	303	NA	NA	
Bcen2424_3425	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	255032	255823	+	ABK10164.1	NA	NA	transcriptional regulator, XRE family	NA	NA	792	263	NA	NA	
Bcen2424_6101	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	255314	255967	+	ABK12833.1	NA	NA	binding-protein-dependent transport systems inner membrane component	NA	NA	654	217	NA	NA	
Bcen2424_0222	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	255342	257045	-	ABK06976.1	NA	NA	conserved hypothetical protein	NA	NA	1704	567	NA	NA	
Bcen2424_3426	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	255920	257398	-	ABK10165.1	NA	NA	aminotransferase, class V	NA	NA	1479	492	NA	3	00730 Thiamine metabolism [PATH:ko00730]|04122 Sulfur relay system [PATH:ko04122]
Bcen2424_6102	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	255964	257142	+	ABK12834.1	NA	NA	glycine betaine/L-proline ABC transporter, ATPase subunit	NA	NA	1179	392	NA	NA	
Bcen2424_0223	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	257099	258208	-	ABK06977.1	NA	NA	conserved hypothetical protein	NA	NA	1110	369	NA	NA	
Bcen2424_6103	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	257298	257675	-	ABK12835.1	NA	NA	conserved hypothetical protein	NA	NA	378	125	NA	NA	
Bcen2424_3427	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	257901	259289	+	ABK10166.1	NA	NA	major facilitator superfamily MFS_1	NA	NA	1389	462	NA	NA	
Bcen2424_6104	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	257961	258941	+	ABK12836.1	NA	NA	transcriptional regulator, MarR family with acetyltransferase activity	NA	NA	981	326	NA	NA	
Bcen2424_0224	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	258444	262238	-	ABK06978.1	NA	NA	conserved hypothetical protein	NA	NA	3795	1264	NA	NA	
Bcen2424_6105	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	259038	259643	-	ABK12837.1	NA	NA	Rossmann fold nucleotide-binding protein-like protein	NA	NA	606	201	NA	NA	
Bcen2424_3428	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	259450	260379	+	ABK10167.1	NA	NA	transcriptional regulator, LysR family	NA	NA	930	309	NA	NA	
Bcen2424_6106	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	259640	260887	-	ABK12838.1	NA	NA	major facilitator superfamily MFS_1	NA	NA	1248	415	NA	NA	
Bcen2424_3429	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	260495	260989	+	ABK10168.1	NA	NA	conserved hypothetical protein	NA	NA	495	164	NA	NA	
Bcen2424_3430	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	261027	262046	+	ABK10169.1	NA	NA	conserved hypothetical protein	NA	NA	1020	339	NA	NA	
Bcen2424_6107	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	261174	261503	-	ABK12839.1	NA	NA	histone family protein nucleoid-structuring protein H-NS	NA	NA	330	109	NA	NA	
Bcen2424_6108	with_protein	GCA_000203955.1	Primary Assembly	chromosome	3	CP000460.1	261823	263172	-	ABK12840.1	NA	NA	RNA-directed DNA polymerase	NA	NA	1350	449	NA	NA	
Bcen2424_3431	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	262103	263569	+	ABK10170.1	NA	NA	aldehyde dehydrogenase (acceptor)	NA	NA	1467	488	NA	NA	
Bcen2424_0225	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	262509	262820	+	ABK06979.1	NA	NA	hypothetical protein	NA	NA	312	103	NA	NA	
